Model,MAE,MSE,RMSE,R2_Score
PSO Random Forest,1.106440226265998,1.8115358037317635,1.345933060642974,0.5575873542909422
Standard Random Forest,1.2999594097512561,1.925642623314664,1.3876752585942664,0.5297202263870258
Extra Trees,1.2771044527943511,2.011426962391791,1.4182478494225863,0.5087700048494037
Gradient Boosting,1.2800436041906944,2.888521588300009,1.6995651174050406,0.29456625950476656
ANN,3.6695000575138974,19.197092798502688,4.381448710016207,-3.688307345299066
Linear Regression,3.8149670087374172,44.89460888235695,6.700343937616706,-9.964145810864629
