Generation,Best_CV_RMSE,Generation_Best_RMSE,Average_CV_RMSE,Best_n_estimators,Best_max_depth,Best_min_samples_split,Best_min_samples_leaf,Best_max_features,Best_bootstrap
1,2.7348992898076676,2.7348992898076676,2.8639921392041288,200,8,4,1,sqrt,False
2,2.712084702571056,2.712084702571056,2.7967451975973554,500,8,2,1,sqrt,False
3,2.7038757423970847,2.7038757423970847,2.7911316051716732,500,10,3,1,0.5,False
4,2.7038757423970847,2.7038757423970847,2.766336517880134,500,10,3,1,0.5,False
5,2.7038757423970847,2.7038757423970847,2.743177919983055,500,10,3,1,0.5,False
