Model,MAE,MSE,RMSE,R2_Score
Standard Random Forest,1.2999594097512561,1.925642623314664,1.3876752585942664,0.5297202263870258
CSA Random Forest,1.308461538369839,1.9372941193756932,1.3918671342393616,0.5268747020599824
Extra Trees,1.2771044527943511,2.011426962391791,1.4182478494225863,0.5087700048494037
Gradient Boosting,1.2800436041906944,2.888521588300009,1.6995651174050406,0.29456625950476656
ANN,3.457914499136118,19.650797155589597,4.432921965880924,-3.799110866032719
Linear Regression,3.8149670087374172,44.89460888235695,6.700343937616706,-9.964145810864629
